Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
ANKRA2,NA,ENSG00000164331,Ankyrin repeat family A member 2,5,73552335-73565686,Predicted intracellular proteins,Evidence at protein level,HPA065263,NA,NA,Approved,Plasma membrane<br>Cell Junctions,NA,Expressed in all,Expressed in all,NA,NA,thyroid gland: 26.2,Expressed in all,NA,NA
APOC3,NA,ENSG00000110245,Apolipoprotein C3,11,116829706-116833072,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA065365,NA,NA,Approved,Nucleoplasm<br>Nucleoli<br>Cell Junctions,"Renal cancer:6.87e-5 (unfavourable), Liver cancer:3.77e-4 (favourable)",Tissue enriched,Tissue enriched,7,liver: 8677.3,small intestine: 1178.4,Group enriched,17,CACO-2: 85.2;Hep G2: 190.9
AQP4,MIWC,ENSG00000171885,Aquaporin 4,18,26852038-26865818,"Predicted membrane proteins, Transporters",Evidence at protein level,"CAB005079, HPA014784, CAB058689",Enhanced,Supported,Supported,Plasma membrane<br>Cell Junctions,NA,Tissue enriched,Group enriched,16,cerebral cortex: 630.0;lung: 171.9,thyroid gland: 24.4,Cell line enhanced,NA,AF22: 2.4;RPTEC TERT1: 1.0
ARHGAP21,"ARHGAP10, KIAA1424",ENSG00000107863,Rho GTPase activating protein 21,10,24583609-24723668,Predicted intracellular proteins,Evidence at protein level,"HPA036610, HPA057861",Approved,NA,Supported,Plasma membrane<br>Cell Junctions<br>Actin filaments,NA,Expressed in all,Expressed in all,NA,NA,cerebral cortex: 88.5,Mixed,NA,NA
ARHGAP28,"FLJ10312, KIAA1314",ENSG00000088756,Rho GTPase activating protein 28,18,6729718-6915716,Predicted intracellular proteins,Evidence at protein level,"HPA030413, HPA030414, HPA030415",Enhanced,NA,Supported,Cell Junctions,NA,Mixed,Tissue enhanced,NA,testis: 133.0,placenta: 40.9,Cell line enhanced,NA,AF22: 35.5;CACO-2: 31.8
ARL15,"ARFRP2, FLJ20051",ENSG00000185305,ADP ribosylation factor like GTPase 15,5,53883945-54310582,Predicted intracellular proteins,Evidence at protein level,"HPA044604, HPA063820",Uncertain,NA,Approved,Golgi apparatus<br>Plasma membrane<br>Cell Junctions,NA,Expressed in all,Expressed in all,NA,NA,placenta: 44.8,Mixed,NA,NA
ARPC1A,"Arc40, SOP2Hs, SOP2L",ENSG00000241685,Actin related protein 2/3 complex subunit 1A,7,99325910-99366262,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA004334,Approved,NA,Approved,Cell Junctions<br>Cytosol,Liver cancer:4.70e-4 (unfavourable),Expressed in all,Expressed in all,NA,NA,thyroid gland: 130.9,Expressed in all,NA,NA
ARPC5,"ARC16, dJ127C7.3, p16-Arc",ENSG00000162704,Actin related protein 2/3 complex subunit 5,1,183620846-183635757,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA022013, HPA031972",Approved,NA,Approved,Vesicles<br>Plasma membrane<br>Cell Junctions<br>Cytosol,"Renal cancer:1.21e-10 (unfavourable), Liver cancer:3.63e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,appendix: 201.3,Expressed in all,NA,NA
ARVCF,NA,ENSG00000099889,Armadillo repeat gene deleted in velocardiofacial syndrome,22,19969896-20016808,Predicted intracellular proteins,Evidence at protein level,"CAB016162, HPA055264, HPA063675",Enhanced,NA,Enhanced,Plasma membrane<br>Cell Junctions,Urothelial cancer:5.76e-6 (favourable),Expressed in all,Mixed,NA,NA,spleen: 8.8,Cell line enhanced,NA,K-562: 18.0;SCLC-21H: 21.2;SH-SY5Y: 14.7;U-2 OS: 16.4
ASGR1,CLEC4H1,ENSG00000141505,Asialoglycoprotein receptor 1,17,7173431-7179564,Predicted intracellular proteins,Evidence at protein level,"HPA011954, HPA012852",Enhanced,NA,Supported,Vesicles<br>Cell Junctions,NA,Tissue enriched,Tissue enriched,13,liver: 236.1,testis: 17.6,Cell line enriched,25,Hep G2: 331.3
ATP23,"KUB3, XRCC6BP1",ENSG00000166896,ATP23 metallopeptidase and ATP synthase assembly factor homolog,12,57941541-57957269,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA035804, HPA043204",Uncertain,NA,Enhanced,Vesicles<br>Plasma membrane<br>Cell Junctions<br>Cytosol,Renal cancer:1.44e-5 (unfavourable),Expressed in all,Tissue enhanced,NA,testis: 26.8,rectum: 5.5,Expressed in all,NA,NA
BRK1,"C3orf10, HSPC300, MDS027",ENSG00000254999,"BRICK1, SCAR/WAVE actin nucleating complex subunit",3,10115592-10127190,Predicted intracellular proteins,Evidence at protein level,HPA060391,NA,NA,Approved,Nuclear speckles<br>Cell Junctions,Liver cancer:5.76e-5 (unfavourable),Expressed in all,Expressed in all,NA,NA,fallopian tube: 225.0,Expressed in all,NA,NA
BUB1B-PAK6,NA,ENSG00000259288,BUB1B-PAK6 readthrough,15,40217428-40276396,"Predicted intracellular proteins, RAS pathway related proteins",Evidence at protein level,HPA031124,Uncertain,NA,Approved,Nucleus<br>Nucleoli fibrillar center<br>Cell Junctions,NA,Not detected,Not detected,NA,NA,cerebral cortex: 0.1,Not detected,NA,NA
BVES,"HBVES, POP1, POPDC1",ENSG00000112276,Blood vessel epicardial substance,6,105096822-105137174,"Disease related genes, Predicted membrane proteins",Evidence at protein level,"HPA014788, HPA018176",Enhanced,NA,Supported,Plasma membrane<br>Cell Junctions,NA,Mixed,Tissue enhanced,NA,smooth muscle: 25.0,testis: 20.7,Cell line enhanced,NA,RH-30: 28.7;WM-115: 29.8
C11orf52,"FLJ25219, MGC14839",ENSG00000149300,Chromosome 11 open reading frame 52,11,111918032-111926872,Predicted intracellular proteins,Evidence at protein level,"HPA038387, HPA038388",Uncertain,NA,Enhanced,Cell Junctions,NA,Not detected,Mixed,NA,NA,kidney: 44.9,Cell line enhanced,NA,CAPAN-2: 19.2;RPTEC TERT1: 20.1;T-47d: 70.7
C16orf59,FLJ13909,ENSG00000162062,Chromosome 16 open reading frame 59,16,2460080-2464963,Predicted intracellular proteins,Evidence at protein level,"HPA051394, HPA055389",Approved,NA,Approved,Nucleoplasm<br>Cell Junctions,"Liver cancer:2.43e-5 (unfavourable), Lung cancer:7.58e-4 (unfavourable)",Expressed in all,Tissue enhanced,NA,testis: 5.5,"bone marrow,lymph node: 2.5",Mixed,NA,NA
C17orf62,"FLJ90469, MGC4368",ENSG00000178927,Chromosome 17 open reading frame 62,17,82442589-82450829,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA045696,Uncertain,NA,Approved,Plasma membrane<br>Cell Junctions,Renal cancer:6.83e-11 (unfavourable),Expressed in all,Expressed in all,NA,NA,lymph node: 127.0,Expressed in all,NA,NA
C4orf19,FLJ11017,ENSG00000154274,Chromosome 4 open reading frame 19,4,37453941-37623495,Predicted intracellular proteins,Evidence at protein level,"HPA043458, HPA052894",Enhanced,NA,Supported,Cell Junctions,Renal cancer:1.49e-11 (favourable),Mixed,Mixed,NA,NA,rectum: 26.9,Group enriched,6,RT4: 70.0;SK-BR-3: 25.9;T-47d: 116.1
C8orf37,"BBS21, CORD16, FLJ30600, RP64",ENSG00000156172,Chromosome 8 open reading frame 37,8,95244919-95269201,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA024198,Approved,NA,Approved,Plasma membrane<br>Cell Junctions<br>Cytosol,Endometrial cancer:4.63e-4 (unfavourable),Expressed in all,Mixed,NA,NA,fallopian tube: 6.3,Mixed,NA,NA
C9orf3,"AOPEP, AP-O, APO, C90RF3, FLJ14675",ENSG00000148120,Chromosome 9 open reading frame 3,9,94726701-95087218,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA004633, HPA072729",Approved,NA,Approved,Cell Junctions,Renal cancer:6.33e-5 (favourable),Expressed in all,Expressed in all,NA,NA,skin: 50.0,Mixed,NA,NA
CABLES2,"C20orf150, dJ908M14.2, ik3-2",ENSG00000149679,Cdk5 and Abl enzyme substrate 2,20,62388632-62407285,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA052138,NA,NA,Approved,Nuclear bodies<br>Cell Junctions,"Renal cancer:1.24e-6 (unfavourable), Endometrial cancer:5.26e-5 (unfavourable)",Expressed in all,Tissue enriched,6,testis: 58.3,cerebral cortex: 9.0,Expressed in all,NA,NA
CADM1,"BL2, IGSF4, IGSF4A, Necl-2, NECL2, RA175, ST17, SYNCAM, SYNCAM1, TSLC1",ENSG00000182985,Cell adhesion molecule 1,11,115169218-115504957,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,CAB037266,Enhanced,NA,Supported,Cell Junctions,Endometrial cancer:1.32e-4 (favourable),Expressed in all,Mixed,NA,NA,parathyroid gland: 151.6,Cell line enhanced,NA,CACO-2: 245.0;WM-115: 185.3
CAMK2A,"CAMKA, CaMKIINalpha, KIAA0968",ENSG00000070808,Calcium/calmodulin dependent protein kinase II alpha,5,150219491-150290291,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB004330, HPA051783, HPA051785, HPA053973",Enhanced,NA,Supported,Plasma membrane<br>Cell Junctions<br>Cytosol,NA,Tissue enriched,Tissue enriched,9,cerebral cortex: 283.6,skeletal muscle: 33.3,Cell line enhanced,NA,SCLC-21H: 6.2;U-87 MG: 4.3
CAMK2B,"CAM2, CAMK2, CAMKB",ENSG00000058404,Calcium/calmodulin dependent protein kinase II beta,7,44217150-44334577,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB006849, HPA026307, HPA051783, HPA051785, HPA053973",Enhanced,Supported,Supported,Plasma membrane<br>Cell Junctions<br>Cytosol,NA,Mixed,Tissue enhanced,NA,cerebral cortex: 214.1,skeletal muscle: 46.1,Cell line enriched,12,SCLC-21H: 88.9
CAMK2D,CAMKD,ENSG00000145349,Calcium/calmodulin dependent protein kinase II delta,4,113451032-113761927,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA026281, HPA051783, HPA051785, HPA053973",Approved,NA,Supported,Plasma membrane<br>Cell Junctions<br>Cytosol,NA,Expressed in all,Expressed in all,NA,NA,heart muscle: 110.3,Mixed,NA,NA
CAMK2G,CAMKG,ENSG00000148660,Calcium/calmodulin dependent protein kinase II gamma,10,73812501-73874591,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA040656, HPA051783, HPA051785, HPA053973",Approved,NA,Supported,Plasma membrane<br>Cell Junctions<br>Cytosol,NA,Expressed in all,Expressed in all,NA,NA,cerebral cortex: 119.0,Expressed in all,NA,NA
CCDC170,"bA282P11.1, C6orf97, FLJ23305",ENSG00000120262,Coiled-coil domain containing 170,6,151494030-151621193,Predicted intracellular proteins,Evidence at protein level,"HPA027114, HPA027185",Enhanced,NA,Approved,Golgi apparatus<br>Cell Junctions,Endometrial cancer:3.64e-4 (favourable),Mixed,Tissue enriched,6,fallopian tube: 53.5,thyroid gland: 9.4,Group enriched,6,MCF7: 7.9;T-47d: 5.5
CCDC66,DKFZp686C0433,ENSG00000180376,Coiled-coil domain containing 66,3,56557161-56621818,Predicted intracellular proteins,Evidence at protein level,HPA044185,Uncertain,NA,Approved,Cell Junctions<br>Midbody ring<br>Microtubule organizing center,NA,Expressed in all,Mixed,NA,NA,fallopian tube: 9.6,Expressed in all,NA,NA
CCDC85C,NA,ENSG00000205476,Coiled-coil domain containing 85C,14,99500180-99604026,Predicted intracellular proteins,Evidence at protein level,HPA058346,Uncertain,NA,Approved,Nuclear speckles<br>Cell Junctions,"Renal cancer:2.60e-5 (favourable), Endometrial cancer:1.44e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,esophagus: 31.1,Mixed,NA,NA
CD34,NA,ENSG00000174059,CD34 molecule,1,207880972-207911402,"CD markers, Predicted membrane proteins",Evidence at protein level,"CAB000018, HPA036722, HPA036723",Enhanced,NA,Approved,Nucleus<br>Plasma membrane<br>Cell Junctions,"Head and neck cancer:5.93e-5 (favourable), Renal cancer:8.47e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,placenta: 316.6,Group enriched,7,HUVEC TERT2: 53.6;MOLT-4: 53.1
CDH1,"CD324, UVO, uvomorulin",ENSG00000039068,Cadherin 1,16,68737225-68835548,"Cancer-related genes, CD markers, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB000087, HPA004812, CAB028364, CAB072855, CAB072856, CAB072857",Enhanced,NA,Supported,Golgi apparatus<br>Plasma membrane<br>Cell Junctions,Renal cancer:2.06e-4 (favourable),Expressed in all,Tissue enhanced,NA,parathyroid gland: 475.1,thyroid gland: 266.2,Cell line enhanced,NA,BEWO: 645.6;CAPAN-2: 281.0;HaCaT: 273.9
CDH17,"cadherin, HPT-1",ENSG00000079112,Cadherin 17,8,94127171-94217303,"Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA023614, HPA023616, CAB025143, HPA026556",Enhanced,NA,Supported,Cell Junctions,NA,Group enriched,Group enriched,8,colon: 256.9;duodenum: 314.3;rectum: 267.3;small intestine: 294.3,appendix: 37.5,Group enriched,6,CACO-2: 81.5;U-266/70: 121.0
CDH2,"CD325, CDHN, NCAD",ENSG00000170558,Cadherin 2,18,27950966-28177446,"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB000141, CAB018580, HPA058574, CAB078686",Enhanced,NA,Supported,Plasma membrane<br>Cell Junctions,NA,Expressed in all,Tissue enhanced,NA,heart muscle: 123.5;parathyroid gland: 126.2,adrenal gland: 87.3,Cell line enhanced,NA,AF22: 306.2;fHDF/TERT166: 367.9
CDH24,CDH11L,ENSG00000139880,Cadherin 24,14,23047062-23057538,Predicted membrane proteins,Evidence at protein level,HPA065233,NA,NA,Approved,Nucleoplasm<br>Cell Junctions<br>Microtubule organizing center<br>Cytosol,Renal cancer:1.15e-4 (unfavourable),Expressed in all,Mixed,NA,NA,endometrium: 8.5,Cell line enhanced,NA,SCLC-21H: 62.2
CDH3,"CDHP, PCAD",ENSG00000062038,Cadherin 3,16,68636189-68722616,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA001767, CAB002487",Enhanced,NA,Uncertain,Cell Junctions<br>Cytosol,"Pancreatic cancer:8.43e-4 (unfavourable), Lung cancer:8.53e-4 (unfavourable)",Mixed,Tissue enhanced,NA,skin: 31.9,ovary: 26.5,Cell line enhanced,NA,A-431: 89.4;HaCaT: 243.8;HBEC3-KT: 95.6;hTCEpi: 75.4;RPTEC TERT1: 88.7
CDK5,PSSALRE,ENSG00000164885,Cyclin dependent kinase 5,7,151053812-151058530,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB008909, HPA064535",Enhanced,NA,Supported,Nucleus<br>Plasma membrane<br>Cell Junctions,NA,Expressed in all,Expressed in all,NA,NA,cerebral cortex: 49.9,Expressed in all,NA,NA
CDK5RAP2,"C48, CEP215, FLJ10867, MCPH3",ENSG00000136861,CDK5 regulatory subunit associated protein 2,9,120388869-120580170,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA035820, HPA046529",Approved,NA,Enhanced,Cell Junctions<br>Centrosome,NA,Expressed in all,Expressed in all,NA,NA,testis: 37.4,Expressed in all,NA,NA
CERCAM,"CEECAM1, CerCAM, GLT25D3",ENSG00000167123,Cerebral endothelial cell adhesion molecule,9,128411751-128437351,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA021657, HPA051595",Uncertain,NA,Approved,Nucleus<br>Nucleoli<br>Cell Junctions,"Renal cancer:3.33e-16 (unfavourable), Urothelial cancer:3.30e-5 (unfavourable), Ovarian cancer:5.22e-4 (unfavourable)",Expressed in all,Expressed in all,NA,NA,cerebral cortex: 155.6,Mixed,NA,NA
CFAP206,"C6orf165, dJ382I10.1, FLJ25974",ENSG00000272514,Cilia and flagella associated protein 206,6,87407983-87464465,Predicted intracellular proteins,Evidence at protein level,"HPA044891, HPA072261",Approved,NA,Approved,Nucleoplasm<br>Cell Junctions,NA,Not detected,Group enriched,30,fallopian tube: 35.9;testis: 106.8,"lung,thyroid gland: 2.3",Cell line enhanced,NA,MCF7: 1.7;RPTEC TERT1: 2.0;T-47d: 4.2
CFB,"BF, BFD, H2-Bf",ENSG00000243649,Complement factor B,6,31945650-31952084,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA000951, HPA001817, HPA001832, CAB016381",Supported,NA,Approved,Endoplasmic reticulum<br>Vesicles<br>Cell Junctions,"Renal cancer:1.53e-5 (unfavourable), Breast cancer:2.76e-5 (favourable)",Expressed in all,Tissue enriched,21,liver: 285.9,stomach: 13.8,Cell line enhanced,NA,CAPAN-2: 6.6;fHDF/TERT166: 9.6;HSkMC: 14.1
CGN,KIAA1319,ENSG00000143375,Cingulin,1,151510510-151538692,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB017193, HPA027586, HPA027587, HPA027657",Enhanced,NA,Supported,Plasma membrane<br>Cell Junctions,Renal cancer:5.84e-10 (favourable),Expressed in all,Tissue enhanced,NA,parathyroid gland: 73.4,small intestine: 61.9,Cell line enhanced,NA,CACO-2: 75.4;CAPAN-2: 52.0
CGNL1,"FLJ14957, JACOP, KIAA1749, PCING",ENSG00000128849,Cingulin like 1,15,57375967-57550727,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"CAB013500, HPA056911, HPA069214",Enhanced,NA,Approved,Cell Junctions,"Renal cancer:1.37e-6 (favourable), Endometrial cancer:3.55e-4 (favourable), Liver cancer:5.58e-4 (favourable)",Expressed in all,Mixed,NA,NA,kidney: 73.1,Cell line enhanced,NA,AF22: 12.9;HUVEC TERT2: 43.8;TIME: 26.5
CHCHD7,"COX23, MGC2217",ENSG00000170791,Coiled-coil-helix-coiled-coil-helix domain containing 7,8,56211686-56218798,"Cancer-related genes, Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA050783,Approved,NA,Approved,Cell Junctions<br>Aggresome,"Endometrial cancer:1.39e-6 (unfavourable), Renal cancer:9.47e-5 (favourable)",Expressed in all,Expressed in all,NA,NA,ovary: 61.6,Expressed in all,NA,NA
CLCA2,CLCRG2,ENSG00000137975,Chloride channel accessory 2,1,86424086-86456558,Predicted membrane proteins,Evidence at protein level,HPA047192,Enhanced,NA,Supported,Nucleus<br>Plasma membrane<br>Cell Junctions,NA,Group enriched,Group enriched,5,esophagus: 126.4;skin: 102.7,tonsil: 22.5,Cell line enhanced,NA,BEWO: 36.7;HBEC3-KT: 23.7;hTCEpi: 148.8
CLDN2,NA,ENSG00000165376,Claudin 2,X,106900164-106930861,Predicted membrane proteins,Evidence at protein level,"CAB002609, HPA051548",Enhanced,NA,Supported,Nucleoplasm<br>Cell Junctions,Thyroid cancer:1.70e-4 (favourable),Group enriched,Tissue enhanced,NA,gallbladder: 159.0;kidney: 171.8;seminal vesicle: 129.3,epididymis: 41.1,Group enriched,23,A549: 24.6;CACO-2: 18.2;RPTEC TERT1: 35.1
CLDN3,"C7orf1, CPE-R2, CPETR2, HRVP1, RVP1",ENSG00000165215,Claudin 3,7,73768997-73770270,"Cancer-related genes, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,"CAB002702, HPA014361",Supported,NA,Supported,Cell Junctions,Renal cancer:3.39e-5 (favourable),Mixed,Tissue enhanced,NA,colon: 87.7;small intestine: 119.5,duodenum: 55.0,Cell line enhanced,NA,MCF7: 175.3;PC-3: 44.1;SCLC-21H: 68.2;T-47d: 98.9
CLDN7,"CEPTRL2, CPETRL2, Hs.84359",ENSG00000181885,Claudin 7,17,7259903-7263983,"Cancer-related genes, Predicted membrane proteins, Predicted secreted proteins, Transporters",Evidence at protein level,"CAB013063, HPA014703, HPA073662",Enhanced,NA,Approved,Vesicles<br>Cell Junctions,"Renal cancer:8.96e-11 (favourable), Thyroid cancer:1.85e-4 (favourable), Stomach cancer:4.09e-4 (favourable)",Expressed in all,Mixed,NA,NA,small intestine: 350.1,Cell line enhanced,NA,BEWO: 162.4;CAPAN-2: 304.6;HaCaT: 644.4;MCF7: 198.9;SK-BR-3: 225.1
CLDN9,NA,ENSG00000213937,Claudin 9,16,3012456-3014505,Predicted membrane proteins,Evidence at protein level,HPA076613,NA,NA,Supported,Vesicles<br>Cell Junctions,"Endometrial cancer:2.24e-6 (unfavourable), Stomach cancer:4.67e-4 (unfavourable)",Mixed,Tissue enhanced,NA,parathyroid gland: 3.2,bone marrow: 1.7,Cell line enhanced,NA,CAPAN-2: 5.5;MCF7: 16.8;SCLC-21H: 19.5
CLSTN2,"CDHR13, CS2, CSTN2, FLJ39113",ENSG00000158258,Calsyntenin 2,3,139935185-140577397,Predicted membrane proteins,Evidence at protein level,HPA031342,Approved,NA,Approved,Nucleoplasm<br>Nuclear membrane<br>Cell Junctions,NA,Tissue enriched,Tissue enhanced,NA,cerebral cortex: 34.6;ovary: 81.6,adipose tissue: 18.8,Cell line enhanced,NA,AF22: 5.2;SCLC-21H: 17.0;THP-1: 6.3
